Company,Price,S/O,Market Cap,Cash,Debt,Revenue,EV,Forward PE
IT,128.14,89.23M,11.43B,356.63M,2.99B,4.2B,14.06B,36.72
ITW,195.14,316.16M,61.7B,1.81B,7.77B,12.74B,67.65B,27.56
IVZ,10.14,459.17M,4.66B,1.01B,2.76B,6.48B,10.98B,6.00
J,88.82,130.21M,11.57B,1.34B,3.1B,13.44B,13.38B,15.31
JBHT,141.42,105.51M,14.92B,274.65M,1.46B,9.24B,16.1B,24.01
JCI,40.59,744.05M,30.2B,2.34B,9.24B,22.64B,38.16B,16.64
JKHY,165.85,76.62M,12.71B,109.51M,123.02M,1.7B,12.72B,37.35
JNJ,152.76,2.63B,402.19B,19.14B,30.39B,80.5B,413.45B,16.90
JNPR,23.62,331.75M,7.84B,1.87B,1.88B,4.43B,7.86B,13.12
JPM,97.32,3.05B,296.59B,1.25T,690.69B,97.28B,-234.22B,11.03
K,68.89,342.92M,23.62B,1.25B,9.13B,13.47B,32.04B,17.40
KEY,11.95,976M,11.66B,3.81B,16.03B,5.27B,25.78B,9.41
KEYS,95.88,187.04M,17.93B,1.7B,1.99B,4.12B,18.27B,18.73
KHC,34.56,1.22B,42.25B,2.81B,28.86B,25.42B,68.43B,13.82
KIM,11.43,432.5M,4.94B,201.69M,5.44B,1.11B,10.26B,21.17
KLAC,203.97,155.46M,31.71B,1.98B,3.57B,5.81B,33.31B,16.50
KMB,157.30,341.05M,53.65B,1.45B,8.1B,18.84B,60.53B,19.99
KMI,14.11,2.26B,31.94B,654M,34.47B,12.23B,66.89B,14.85
KMX,106.92,163.08M,17.44B,658.02M,15.41B,19.3B,32.19B,20.44
KO,47.28,4.3B,203.09B,19.83B,52.35B,34.33B,237.32B,22.95
KR,35.91,777.93M,27.94B,2.73B,20.64B,126.58B,45.82B,13.86
KSS,18.90,157.74M,2.98B,2.43B,7.73B,17.29B,8.21B,11.05
KSU,182.78,94.35M,17.25B,620.1M,3.84B,2.76B,20.8B,22.48
L,,,,,,,,
LB,29.97,277.83M,8.33B,957M,9.04B,11.36B,16.41B,15.86
LDOS,89.17,142.19M,12.68B,590M,5.66B,11.59B,17.75B,14.11
LEG,39.85,132.39M,5.28B,208.8M,2.3B,4.27B,7.37B,15.94
LEN,79.36,274.62M,24.14B,1.42B,8.94B,22.62B,32.39B,12.02
LH,180.62,97.4M,17.59B,559.3M,7.11B,11.47B,24.17B,11.82
LHX,178.59,216.2M,38.61B,1B,,24B,37.61B,13.90
LIN,244.30,525.36M,128.35B,4.94B,17.48B,27.2B,143.28B,27.64
LKQ,30.92,304.29M,9.41B,476.43M,4.61B,11.78B,13.59B,13.05
LLY,149.26,956.47M,142.76B,2.41B,16.69B,22.95B,149.76B,18.66
LMT,389.57,279.54M,108.9B,2.86B,12.67B,62.92B,118.76B,14.62
LNC,34.92,193.25M,6.75B,8.85B,8.05B,16.92B,5.95B,3.60
LNT,54.08,249.64M,13.5B,208.1M,6.77B,3.55B,20.46B,20.96
LOW,161.72,755M,122.26B,12.73B,26.19B,80.39B,135.72B,19.39
LRCX,353.44,145.33M,51.47B,6.71B,5.98B,10.04B,50.74B,14.65
LUV,34.69,589.87M,20.46B,14.46B,11.5B,16.61B,17.5B,20.77
LVS,48.52,763.8M,37.06B,3.03B,13.84B,8.64B,48.67B,23.90
LW,61.48,145.31M,8.93B,1.36B,3.71B,3.79B,11.33B,21.72
LYB,65.67,333.84M,21.92B,3.2B,16.25B,29.94B,35.11B,9.12
LYV,51.12,217.26M,11.11B,3.29B,6.46B,8.1B,14.69B,-28.88
MA,337.10,992.54M,337.46B,11.53B,12.5B,16.23B,338.51B,38.70
MAA,114.84,114.36M,13.13B,19.67M,4.51B,1.66B,17.84B,55.75
MAR,95.27,324.32M,30.9B,2.28B,12.77B,3.86B,41.38B,31.55
MAS,58.70,261.53M,15.35B,1.09B,2.93B,6.7B,17.36B,19.97
MCD,211.57,744.1M,157.43B,3.26B,51.92B,19.12B,206.1B,26.09
MCHP,107.93,252.45M,27.25B,380.2M,9.37B,5.26B,36.23B,16.18
MCK,150.97,162.12M,24.49B,2.61B,9.46B,231B,32.95B,8.85
MCO,284.47,187.7M,53.4B,2.2B,6.89B,5.2B,58.28B,29.03
MDLZ,57.47,1.43B,82.09B,1.64B,20.24B,25.89B,100.77B,20.53
MDT,98.73,1.34B,132.62B,10.95B,25.74B,28.91B,147.35B,17.69
MET,37.28,907.66M,33.84B,39.85B,111.07B,68.23B,105.31B,6.20
MGM,21.16,493.28M,10.44B,4.84B,20.13B,8.71B,30.77B,-27.48
MHK,90.32,71.19M,6.43B,737.71M,3.05B,9.28B,8.75B,11.11
MKC,203.15,123.94M,27.07B,185M,4.43B,5.43B,31.32B,36.15
MKTX,499.84,37.97M,18.98B,425.79M,94.7M,615.14M,18.65B,63.11
MLM,209.66,62.27M,13.06B,70.1M,3.23B,4.43B,16.21B,20.76
MMC,113.47,506.53M,56.97B,1.71B,15.43B,17.07B,71.37B,22.08
MMM,161.71,576.02M,93.15B,4.47B,21.62B,31.35B,110.36B,17.97
MNST,82.73,527.4M,43.63B,1.17B,22.94M,4.31B,42.48B,32.44
MO,43.46,1.86B,80.77B,4.83B,29.04B,20.32B,105.12B,9.53
MOS,17.49,379.09M,6.63B,1.07B,5.39B,8.67B,11.12B,17.85
MPC,35.40,650.69M,23.03B,1.09B,34.64B,102.64B,64.66B,34.71
MRK,84.98,2.53B,214.93B,11.11B,30.87B,47.19B,234.8B,13.36
MRO,5.27,789.44M,4.16B,522M,5.69B,4.02B,9.32B,-8.11
MS,51.10,1.58B,80.57B,610.67B,318.99B,43.79B,-200.12B,10.41
MSCI,363.69,83.64M,30.42B,1.38B,3.54B,1.63B,32.58B,44.46
MSFT,213.02,7.57B,1.61T,136.49B,82.11B,143.02B,1.56T,29.02
MSI,151.92,169.79M,25.79B,1.34B,6.14B,7.64B,30.6B,17.69
MTB,102.46,128.28M,13.14B,23.56B,6.53B,5.36B,-2.64B,10.44
MTD,959.98,23.97M,23.01B,127.28M,1.2B,2.94B,24.09B,36.72
MU,,,,,,,,
MXIM,68.51,266.68M,18.27B,1.61B,1.05B,2.19B,17.71B,25.10
MYL,15.99,516.95M,8.27B,401.2M,12.37B,11.5B,20.23B,3.42
NBL,10.04,479.94M,4.82B,324M,8.22B,3.89B,13.49B,-251.00
NCLH,15.56,275.62M,4.29B,2.26B,10.58B,4.66B,12.61B,-4.17
NDAQ,129.92,164.26M,21.34B,742M,3.94B,4.91B,24.54B,22.02
NEE,282.41,489.65M,138.28B,1.01B,46.54B,18.98B,188.61B,28.61
NEM,65.57,803.07M,52.66B,4.12B,6.8B,10.63B,56.31B,16.99
NFLX,492.31,441.02M,217.12B,7.15B,17.71B,22.63B,227.67B,55.94
NI,22.72,383.02M,8.7B,142.2M,10.24B,4.9B,19.68B,16.96
NKE,109.75,1.24B,171.2B,8.79B,13.02B,37.4B,175.43B,33.16
NLOK,22.59,591M,13.35B,1.13B,3.69B,2.45B,15.91B,14.67
NLSN,14.90,356.75M,5.32B,438M,8.96B,6.36B,14.03B,8.76
NOC,337.86,166.71M,56.33B,4.18B,17.39B,34.7B,69.54B,13.36
NOV,11.77,388.28M,4.57B,1.45B,2.78B,7.79B,5.98B,-32.69
NOW,449.42,191.8M,86.2B,2.34B,1.2B,3.95B,85.05B,82.31
NRG,34.53,244.09M,8.43B,418M,6.34B,9.45B,15.25B,8.20
NSC,208.93,255.11M,53.3B,1.14B,12.98B,10.24B,65.13B,19.53
NTAP,41.25,221.93M,9.15B,2.89B,1.81B,5.41B,8.07B,10.26
NTRS,81.73,208.09M,17.01B,11.01B,14.03B,6.06B,20.91B,13.90
NUE,44.69,301.9M,13.49B,3.04B,5.44B,20.55B,16.32B,15.79
NVDA,507.34,615M,312.01B,10.98B,7.7B,13.06B,309.74B,47.28
NVR,"4,223.76",3.7M,15.64B,1.98B,1.27B,7.14B,14.93B,16.79
NWL,16.10,424.3M,6.83B,619M,6.81B,9.19B,13.05B,11.50
NWS,,,,,,,,
NWSA,14.61,388.86M,8.61B,1.52B,2.57B,9.01B,10.46B,29.82
O,61.12,345.04M,21.09B,35.34M,8.07B,1.6B,29.5B,36.38
ODFL,197.25,117.33M,23.14B,518.62M,144.92M,3.94B,22.77B,32.34
OKE,26.88,444.2M,11.94B,945.73M,14.66B,8.72B,25.65B,9.92
OMC,52.55,214.87M,11.29B,3.28B,6.9B,13.97B,15.53B,9.73
ORCL,55.19,3.15B,169.36B,43.06B,73.71B,39.07B,200.66B,12.51
ORLY,460.33,74.06M,34.09B,872.42M,6.1B,10.72B,39.32B,21.11
OTIS,63.63,433.08M,27.56B,1.91B,6.67B,12.66B,32.98B,25.35
OXY,13.16,930.14M,12.24B,1.01B,41.69B,21.51B,62.69B,-9.01
PAYC,287.21,58.53M,16.81B,113.52M,53.02M,792.37M,16.48B,69.37
PAYX,73.91,358.8M,26.52B,932.4M,936M,4.04B,26.52B,24.64
PBCT,10.45,424.78M,4.44B,2.47B,3.3B,1.84B,5.45B,10.89
PCAR,87.02,346.15M,30.12B,4.17B,10.45B,20.71B,36.4B,18.28
PEAK,27.45,538.32M,14.78B,730.96M,6.91B,2.24B,21.52B,98.04
PEG,53.28,505.76M,26.95B,431M,17.11B,9.61B,43.7B,15.76
PEP,136.46,1.39B,190.28B,9.12B,44.98B,67.65B,224.9B,22.97
PFE,38.88,5.56B,216.05B,11.4B,63.61B,49.2B,268.6B,11.64
PFG,42.60,274.52M,11.7B,4.14B,4.31B,16.17B,12.21B,7.08
PG,137.44,2.49B,341.69B,16.18B,35.61B,70.95B,362.37B,23.86
PGR,91.82,585.4M,53.75B,4.81B,5.58B,40.54B,55.01B,16.72
PH,206.32,128.22M,26.45B,756.32M,8.46B,13.7B,34.24B,15.91
PHM,47.48,268.18M,12.73B,1.68B,3.13B,10.62B,14.18B,9.89
PKG,95.96,94.84M,9.1B,940.2M,2.73B,6.72B,10.83B,17.77
PKI,116.90,111.81M,13.07B,218.54M,2.15B,2.98B,15B,20.30
PLD,103.04,738.77M,76.12B,549.15M,16.16B,4.25B,96.65B,86.59
PM,78.06,1.56B,121.56B,4.2B,29.63B,29.16B,148.87B,13.96
PNC,106.45,424.5M,45.19B,14.81B,47.83B,14.18B,82.23B,14.68
PNR,46.02,165.91M,7.64B,90.6M,1.1B,2.89B,8.64B,18.63
PNW,74.26,112.56M,8.36B,6.76M,6.71B,3.45B,15.18B,14.79
PPG,118.23,235.98M,27.9B,2.3B,7.14B,13.89B,32.84B,18.98
PPL,28.04,768.78M,21.56B,1.28B,24.09B,7.68B,44.37B,11.40
PRGO,52.40,136.48M,7.15B,1.46B,4.28B,5.07B,9.98B,12.13
PRU,67.41,395M,26.63B,37.73B,36.42B,59.81B,25.93B,5.81
PSA,206.55,174.8M,36.11B,1.27B,2.46B,2.95B,45.47B,29.30
PSX,60.97,436.7M,26.63B,1.89B,14.45B,88.13B,41.76B,11.19
PVH,50.13,71.04M,3.56B,800.7M,5.11B,8.9B,7.87B,8.57
PWR,49.58,138.02M,6.84B,530.67M,1.67B,11.74B,7.99B,12.30
PXD,102.11,164.28M,16.77B,265M,2.43B,8.2B,18.94B,25.66
PYPL,196.79,1.17B,230.89B,13.05B,9.67B,19.22B,227.56B,43.35
QCOM,113.00,1.13B,127.49B,10.6B,16.43B,20B,133.32B,17.71
QRVO,130.67,114.24M,14.93B,1.14B,1.88B,3.25B,15.67B,17.10
RCL,61.53,214.58M,13.21B,4.15B,19.6B,7.91B,29.25B,-8.25
RE,213.81,39.97M,8.55B,1.78B,784.45M,8.48B,7.55B,9.04
REG,40.46,169.67M,6.86B,583.43M,4.53B,1.09B,10.86B,33.72
REGN,605.49,104.54M,64.42B,3.14B,2.22B,8.69B,62.79B,18.00
RF,10.97,960.17M,10.53B,3.56B,6.82B,4.52B,15.48B,9.07
RHI,55.35,114.6M,6.35B,501.48M,280.73M,5.7B,6.03B,18.70
RJF,73.70,137.16M,10.11B,10.13B,4B,7.72B,4.02B,13.16
RL,67.05,48.16M,4.9B,2.71B,3.96B,5.22B,6.15B,11.50
RMD,179.37,144.67M,25.99B,463.16M,1.3B,2.96B,26.83B,34.69
ROK,228.52,115.97M,26.5B,910.4M,2.74B,6.49B,28.65B,28.78
ROL,54.94,327.76M,18.01B,134.83M,472.14M,2.1B,18.34B,64.64
ROP,431.99,104.71M,45.23B,1.87B,5.87B,5.41B,49.23B,31.67
ROST,87.22,355.92M,31.04B,3.79B,6.27B,12.79B,33.2B,19.87
RSG,89.81,318.49M,28.6B,269.7M,9.04B,10.23B,37.38B,25.81
RTX,60.27,1.53B,92.07B,6.98B,34.47B,80.18B,119.68B,15.65
SBAC,305.44,111.94M,34.19B,207.49M,13.2B,2.05B,47.2B,108.31
SBUX,77.07,1.17B,90.09B,4.2B,25.79B,24.06B,111.69B,28.76
SCHW,34.45,1.29B,44.39B,67.33B,10.18B,10.38B,-7.49B,18.32
SEE,40.87,155.68M,6.36B,289.7M,3.88B,4.84B,9.95B,13.31
SHW,675.82,91.05M,61.53B,188.1M,10.61B,17.73B,71.56B,27.02
SIVB,239.42,51.76M,12.39B,3.64B,1.31B,3.01B,10.55B,15.78
SJM,112.09,114.11M,12.79B,391.1M,5.78B,7.8B,18.18B,13.39
SLB,18.58,1.39B,25.79B,3.59B,17.37B,29.58B,39.98B,28.15
SLG,47.17,73.25M,3.46B,1.02B,6.71B,1.16B,10.04B,-117.92
SNA,147.90,54.47M,8.06B,685.9M,1.51B,3.77B,8.9B,13.71
SNPS,213.10,150.79M,32.34B,1.05B,673.43M,3.51B,31.97B,34.65
SO,52.37,1.06B,55.31B,1.88B,49.79B,20.55B,107.8B,15.77
SPG,64.52,305.89M,19.74B,3.31B,27.79B,5.33B,44.75B,12.22
SPGI,362.01,241M,87.24B,2.67B,4.63B,7.15B,91.67B,31.34
SRE,125.48,289.26M,36.3B,4.9B,26.46B,11.26B,62.78B,15.69
STE,153.46,85.05M,13.05B,255.63M,1.2B,3B,14.01B,23.65
STT,67.55,351.96M,23.8B,103.56B,42.35B,11.82B,-34.94B,10.72
STX,44.84,257.46M,11.54B,1.72B,4.26B,10.51B,14.09B,8.48
STZ,179.29,168.02M,34.61B,302.8M,12.17B,8.21B,46.48B,17.96
SWK,159.18,159.68M,25.42B,859.8M,6B,13.62B,32.06B,18.90
SWKS,142.05,167.04M,23.73B,1.14B,179.8M,3.23B,22.77B,20.56
SYF,23.91,583.76M,13.96B,16.34B,16.07B,6.87B,14.42B,8.76
SYK,188.78,375.61M,70.91B,6.62B,13.33B,14.07B,77.62B,21.31
SYY,57.46,508.26M,29.2B,6.06B,15.08B,52.89B,38.26B,19.15
T,29.69,7.13B,211.54B,17B,196.22B,175.14B,408.32B,9.16
TAP,36.80,196.57M,8.02B,780.8M,9.13B,9.93B,16.59B,9.48
TDG,479.28,54.21M,25.98B,4.55B,20.54B,5.47B,41.98B,41.07
TDY,309.80,36.86M,11.42B,382.8M,986.4M,3.16B,12.02B,27.96
TEL,93.54,330.04M,30.87B,474M,4.62B,12.21B,35.12B,19.25
TFC,36.91,1.35B,49.74B,50.58B,50.34B,16.09B,56.75B,11.05
TFX,371.63,46.52M,17.29B,575.19M,2.5B,2.53B,19.22B,27.59
TGT,153.63,500.02M,76.85B,7.28B,16.74B,84.65B,86.31B,20.68
TIF,126.01,121.35M,15.29B,1.06B,2.71B,3.98B,16.95B,32.31
TJX,51.68,1.2B,61.91B,6.62B,15.66B,33.73B,70.99B,20.27
TMO,428.57,395.59M,169.54B,5.82B,21.35B,26.25B,185.07B,25.85
TMUS,115.01,1.26B,144.63B,11.08B,97.78B,51.72B,229.06B,74.68
TPR,14.54,276.1M,4.02B,1.43B,4.49B,4.96B,7.07B,6.73
TROW,134.82,227.55M,30.6B,2.06B,166.4M,5.77B,29.8B,14.30
TRV,111.83,253.19M,28.31B,6.71B,7.39B,31.38B,29.11B,10.82
TSCO,153.28,115.63M,17.81B,1.21B,3.34B,9.31B,19.94B,24.37
TSN,62.92,294.25M,22.92B,1.37B,12.57B,42.61B,34.27B,10.72
TT,117.57,239.35M,28.14B,2.37B,5.71B,15.96B,31.51B,25.34
TTWO,173.14,114.34M,19.8B,2.28B,181.11M,3.38B,16.73B,31.03
TWTR,39.26,784.63M,30.8B,7.77B,4.13B,3.32B,27.33B,53.78
TXN,140.33,915.94M,128.53B,4.96B,6.8B,13.69B,130.37B,25.75
TXT,37.60,228.04M,8.57B,2.18B,4.99B,12.54B,11.39B,14.75
TYL,339.91,40.24M,13.68B,403.69M,20.34M,1.11B,13.29B,58.10
UA,8.77,231.5M,4.2B,1.08B,2.28B,4.51B,5.19B,58.47
UAA,9.73,188.53M,4.2B,1.08B,2.28B,4.51B,5.62B,97.30
UAL,33.04,290.45M,9.61B,7.46B,24.89B,31.72B,27.04B,-330.40
UDR,34.08,295.07M,10.06B,841k,4.97B,1.24B,15.92B,681.60
UHS,108.70,77.7M,9.23B,539.62M,3.87B,11.28B,12.64B,10.42
ULTA,214.00,56.31M,12.05B,1.15B,2.79B,6.83B,13.69B,19.24
UNH,314.14,950.34M,298.54B,25.59B,46.06B,247.81B,323.74B,16.98
UNM,17.64,203.56M,3.59B,2.77B,3.79B,11.89B,4.62B,3.30
UNP,191.57,678.84M,130.05B,2.77B,30.07B,20.2B,157.35B,20.94
UPS,159.03,707.08M,137.3B,9.25B,29.97B,77.38B,158.03B,20.03
URI,175.06,72.08M,12.62B,127M,11.11B,9.01B,23.6B,10.77
USB,35.21,1.51B,53.04B,56.74B,64.42B,19.39B,67.33B,12.27
V,204.13,1.69B,448.16B,16.64B,21.46B,22.88B,444.56B,35.07
VAR,172.50,90.94M,15.69B,769.2M,720.9M,3.2B,15.65B,33.82
VFC,61.66,389.65M,24.03B,2.85B,6.73B,9.51B,27.92B,24.09
VIAC,26.51,563.77M,16.49B,2.29B,21.88B,26.51B,36.88B,5.83
VLO,52.62,407.76M,21.46B,2.32B,13.92B,82.62B,33.85B,16.39
VMC,125.83,132.45M,16.67B,816.76M,3.72B,4.98B,19.57B,25.42
VNO,35.46,191.15M,6.78B,1.77B,8.51B,1.8B,15.57B,41.23
VRSK,185.65,162.39M,30.15B,312.9M,3.43B,2.7B,33.26B,34.83
VRSN,206.73,114.85M,23.74B,1.19B,1.79B,1.25B,24.34B,35.34
VRTX,271.28,260.47M,70.66B,5.45B,522.07M,5.4B,65.73B,24.05
VTR,41.64,373.09M,15.54B,992.82M,12.78B,3.91B,27.64B,32.28
VZ,58.99,4.14B,244.1B,7.88B,135.73B,129.73B,373.37B,11.97
WAB,64.79,190.3M,12.33B,587.9M,4.72B,8.04B,16.5B,14.76
WAT,216.24,61.93M,13.39B,355.76M,1.79B,2.28B,14.82B,23.45
WBA,39.46,866.53M,34.19B,777M,41.78B,138.75B,75.79B,7.45
WDC,33.71,299.7M,10.1B,3.05B,9.58B,16.74B,16.64B,5.33
WEC,91.99,315.44M,29.02B,13.3M,12.84B,7.21B,41.95B,23.06
WELL,56.13,417.3M,23.42B,1.68B,14.88B,4.98B,37.84B,56.13
WFC,23.64,4.12B,97.4B,451.84B,307.9B,62.66B,-25.13B,11.31
WHR,180.78,62.29M,11.26B,2.55B,7.64B,18.84B,17.26B,11.56
WLTW,198.08,128.86M,25.52B,1.09B,6.64B,9.26B,31.2B,16.29
WM,111.16,422.46M,46.96B,2.66B,12.79B,15.1B,57.09B,25.38
WMB,21.41,1.21B,25.98B,1.13B,22.95B,7.8B,50.7B,19.29
WMT,131.63,2.83B,372.77B,16.91B,69.49B,542.03B,431.25B,23.76
WRB,60.18,178M,10.71B,3.01B,3.14B,7.69B,10.89B,19.29
WRK,28.46,259.64M,7.39B,291.5M,10.76B,17.76B,17.87B,11.62
WST,271.48,73.84M,20.05B,445.9M,329.1M,1.95B,19.93B,58.01
WU,23.49,411M,9.65B,1.18B,3.32B,4.92B,11.79B,11.80
WY,28.82,746.27M,21.51B,643M,6.33B,6.58B,27.19B,35.15
WYNN,82.79,107.87M,8.93B,3.8B,12.93B,4.34B,17.65B,-359.96
XEL,69.61,525.34M,36.57B,1.64B,23.25B,11.21B,58.17B,23.44
XLNX,102.00,244.31M,24.92B,3B,2.05B,3.04B,23.97B,30.36
XOM,41.01,4.23B,173.4B,12.58B,69.52B,213.86B,237.31B,26.80
XRAY,42.60,218.5M,9.31B,1.11B,2.28B,3.44B,10.49B,19.54
XRX,18.76,213.01M,4B,2.27B,4.34B,7.95B,6.29B,8.41
XYL,79.40,179.96M,14.29B,1.58B,3.3B,4.95B,16.02B,30.19
YUM,96.10,301.4M,28.96B,1.44B,11.84B,5.49B,39.37B,24.64
ZBH,136.16,207.05M,28.19B,742.5M,8.21B,7.03B,35.66B,17.52
ZBRA,275.33,53.34M,14.69B,63M,1.37B,4.33B,16B,20.13
ZION,31.59,163.98M,5.18B,3.06B,2.49B,2.37B,5.18B,10.32
ZTS,158.37,474.94M,75.25B,3.36B,7.89B,6.34B,79.78B,38.53
